candidate_id,rank,score,reasoning
CAND_0077337,1,0.475,"7.0 yrs exp. Strong match in pinecone, rag, qdrant. Product background. Engagement rate: 95%."
CAND_0010603,2,0.47,"5.3 yrs exp. Strong match in opensearch, deep learning, machine learning. Product background. Engagement rate: 94%."
CAND_0030031,3,0.47,"5.7 yrs exp. Strong match in pytorch, python, rag. Product background. Engagement rate: 94%."
CAND_0061265,4,0.47,"6.6 yrs exp. Strong match in qdrant, milvus, sentence-transformers. Product background. Engagement rate: 94%."
CAND_0064326,5,0.47,"7.6 yrs exp. Strong match in pytorch, milvus, deep learning. Product background. Engagement rate: 94%."
CAND_0006418,6,0.46,"5.7 yrs exp. Strong match in weaviate, elasticsearch, qdrant. Product background. Engagement rate: 92%."
CAND_0043637,7,0.46,"5.5 yrs exp. Strong match in pytorch, milvus, python. Product background. Engagement rate: 92%."
CAND_0057736,8,0.46,"6.2 yrs exp. Strong match in weaviate, qdrant, python. Product background. Engagement rate: 92%."
CAND_0073883,9,0.46,"5.3 yrs exp. Strong match in deep learning, python, opensearch. Product background. Engagement rate: 92%."
CAND_0090300,10,0.4559,"5.3 yrs exp. Strong match in machine learning, milvus, python. Product background. Engagement rate: 94%."
CAND_0000031,11,0.455,"6.0 yrs exp. Strong match in faiss, pinecone, machine learning. Product background. Engagement rate: 91%."
CAND_0079064,12,0.455,"5.2 yrs exp. Strong match in opensearch, pinecone, sentence-transformers. Product background. Engagement rate: 91%."
CAND_0081686,13,0.455,"6.0 yrs exp. Strong match in machine learning, faiss, milvus. Product background. Engagement rate: 91%."
CAND_0028527,14,0.45,"5.4 yrs exp. Strong match in qdrant, pytorch, python. Product background. Engagement rate: 90%."
CAND_0036184,15,0.45,"6.0 yrs exp. Strong match in faiss, pinecone, pytorch. Product background. Engagement rate: 90%."
CAND_0086154,16,0.45,"6.8 yrs exp. Strong match in opensearch, machine learning, qdrant. Product background. Engagement rate: 90%."
CAND_0008295,17,0.445,"6.5 yrs exp. Strong match in python, weaviate, llm. Product background. Engagement rate: 89%."
CAND_0011687,18,0.445,"7.8 yrs exp. Strong match in opensearch, faiss, weaviate. Product background. Engagement rate: 89%."
CAND_0077498,19,0.445,"5.4 yrs exp. Strong match in elasticsearch, milvus, python. Product background. Engagement rate: 89%."
CAND_0054546,20,0.4416,"4.9 yrs exp. Strong match in qdrant, python, llm. Product background. Engagement rate: 92%."
CAND_0046525,21,0.44,"6.1 yrs exp. Strong match in elasticsearch, machine learning, qdrant. Product background. Engagement rate: 88%."
CAND_0052682,22,0.44,"6.6 yrs exp. Strong match in faiss, pytorch, python. Product background. Engagement rate: 88%."
CAND_0077956,23,0.44,"6.4 yrs exp. Strong match in milvus, weaviate, deep learning. Product background. Engagement rate: 88%."
CAND_0093763,24,0.4379,"5.0 yrs exp. Strong match in faiss, pytorch, python. Product background. Engagement rate: 92%."
CAND_0074225,25,0.4368,"4.3 yrs exp. Strong match in elasticsearch, milvus, python. Product background. Engagement rate: 91%."
CAND_0078042,26,0.4368,"4.7 yrs exp. Strong match in opensearch, pytorch, pinecone. Product background. Engagement rate: 91%."
CAND_0025640,27,0.435,"5.6 yrs exp. Strong match in faiss, pytorch, opensearch. Product background. Engagement rate: 87%."
CAND_0042100,28,0.435,"7.3 yrs exp. Strong match in elasticsearch, pinecone, pytorch. Product background. Engagement rate: 87%."
CAND_0055905,29,0.435,"8.1 yrs exp. Strong match in elasticsearch, python, opensearch. Product background. Engagement rate: 87%."
CAND_0072688,30,0.435,"6.9 yrs exp. Strong match in milvus, deep learning, qdrant. Product background. Engagement rate: 87%."
CAND_0091039,31,0.435,"6.8 yrs exp. Strong match in faiss, rag, python. Product background. Engagement rate: 87%."
CAND_0098454,32,0.435,"6.6 yrs exp. Strong match in opensearch, pinecone, weaviate. Product background. Engagement rate: 87%."
CAND_0030784,33,0.432,"4.4 yrs exp. Strong match in rag, pinecone, python. Product background. Engagement rate: 90%."
